% r                      z                        
0.1                      2.051253                 
20.506123                4.2645206                
40.912247                5.0837097                
61.318367                5.6616096                
81.72449                 6.1229296                
102.130615               6.513163                 
122.536736               6.854685                 
142.94286                7.160358                 
163.34898                7.4383426                
183.7551                 7.6941776                
204.16122                7.9318156                
224.56735                8.154188                 
244.97346                8.363538                 
265.37958                8.561621                 
285.7857                 8.749844                 
306.19183                8.929349                 
326.59796                9.101084                 
347.0041                 9.265839                 
367.41022                9.424283                 
387.8163                 9.576991                 
408.22244                9.724454                 
428.62857                9.867102                 
449.0347                 10.00531                 
469.44083                10.139409                
489.84692                10.269691                
510.25305                10.396419                
530.6592                 10.519823                
551.0653                 10.640116                
571.47144                10.757485                
591.87756                10.872104                
612.2837                 10.984126                
632.6898                 11.093696                
653.09595                11.200943                
673.502                  11.305986                
693.90814                11.408936                
714.3143                 11.509892                
734.7204                 11.608951                
755.1265                 11.706196                
775.53265                11.801709                
795.9388                 11.895566                
816.3449                 11.987836                
836.75104                12.078583                
857.15717                12.167868                
877.5633                 12.255748                
897.96936                12.342276                
918.3755                 12.427503                
938.7816                 12.511475                
959.18774                12.594236                
979.5939                 12.67583                 
1000.0                   12.756293                
